"","x"
"1","Vcard_DToL00887"
"2","Vcard_DToL02554"
"3","Vcard_DToL02600"
"4","Vcard_DToL02813"
"5","Vcard_DToL03596"
"6","Vcard_DToL04007"
"7","Vcard_DToL05110"
"8","Vcard_DToL05461"
"9","Vcard_DToL05591"
"10","Vcard_DToL06760"
"11","Vcard_DToL06761"
"12","Vcard_DToL06859"
"13","Vcard_DToL07089"
"14","Vcard_DToL09468"
"15","Vcard_DToL09711"
"16","Vcard_DToL09758"
"17","Vcard_DToL10297"
"18","Vcard_DToL10306"
"19","Vcard_DToL12505"
"20","Vcard_DToL13323"
"21","Vcard_DToL13888"
"22","Vcard_DToL13889"
"23","Vcard_DToL14428"
"24","Vcard_DToL15662"
"25","Vcard_DToL15857"
"26","Vcard_DToL16580"
