"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vcard_DToL00434",1093.783988625,-2.24265314636083,0.419392787440992,-5.34738129390547,8.92358989313392e-08,2.52165777730143e-05
"Vcard_DToL01126",178.051652401228,-2.1062396446172,0.522745544943844,-4.02918717335689,5.59700420705054e-05,0.00605726848918353
"Vcard_DToL01893",96.6119908328347,-2.24652688002921,0.667633127331743,-3.36491223706598,0.000765680095663488,0.0458191977246156
"Vcard_DToL01944",893.547854896992,-2.59123469471268,0.431683918424058,-6.0026203991394,1.94158186296465e-09,8.97805104179061e-07
"Vcard_DToL02071",164.295696383995,-3.1881841902658,0.647357155042912,-4.9249230744263,8.43935475845762e-07,0.000195121718085885
"Vcard_DToL02425",179.99408896566,-3.39959233296129,0.5879012088344,-5.7825911596635,7.35586842290589e-09,2.87812497947006e-06
"Vcard_DToL02664",480.983592764036,-2.48989927465402,0.669355749893586,-3.71984445498506,0.000199345508148721,0.017332836362367
"Vcard_DToL02970",2716.37988748655,-2.03214501234861,0.263679401665239,-7.70687812364113,1.28932823125874e-14,1.63954201207439e-11
"Vcard_DToL02971",16.4810342546402,-7.8795322869832,2.20320401203249,-3.576397030847,0.000348362442766697,0.0264469487333254
"Vcard_DToL02974",155.781467245788,-4.88134462833591,0.800802608988504,-6.09556534100401,1.09051356411186e-09,5.43461071624529e-07
"Vcard_DToL03156",978.460372713827,-7.61601493210427,1.981558034186,-3.84344783282253,0.000121317796722543,0.0111186121266525
"Vcard_DToL04200",42.7120213261171,-4.69178010418093,1.36780324345646,-3.43015717108896,0.00060323172273295,0.0388402647733037
"Vcard_DToL04730",56.6837397585496,-4.66746168621856,0.839654180561767,-5.55879050479546,2.71650518184833e-08,9.21166907164768e-06
"Vcard_DToL05110",1622.99609451174,-2.30781339676892,0.471005382750386,-4.89976013287299,9.59537294063196e-07,0.000212203758532715
"Vcard_DToL05122",247.458243454907,-2.58161833118905,0.566990793698696,-4.55319267945811,5.28378376058939e-06,0.000895865536607931
"Vcard_DToL05212",138.674275413652,-2.61512401508678,0.614981625632637,-4.25236121875443,2.11528304110561e-05,0.00279464602300875
"Vcard_DToL06369",284.958965731442,-3.00002429959365,0.477533701644734,-6.2823299994553,3.33535910044047e-10,1.9959181252224e-07
"Vcard_DToL06375",79.2584247566442,-4.06691735800381,0.755339995976351,-5.38422085374537,7.27591232004615e-08,2.17699576564204e-05
"Vcard_DToL07242",149.298557006401,-2.49474298909079,0.66884054184033,-3.72995180918077,0.00019151639704924,0.0167956578205338
"Vcard_DToL07573",187.103842919508,-2.12370755483261,0.616207568727582,-3.44641588745476,0.000568075376617712,0.0372840697182709
